"Deal ID","Deal ID"
"Deal Name","Dealname"
"Created At","Erstellt am"
"End Date","Enddatum"
"Status","Status"
"Statistics","Statistiken"
"CTA-Views","CTA-Aufrufe"
"Avg. Time on Page","Durchschn. Zeit auf Seite"
"Pageviews","Pageviews"
"Unique Pageviews","Unique Pageviews"
"Actions","Aktionen"
"Go to the statistic page","Zu den statistiken"
"Matomo is disabled.","Matomo ist deaktiviert"
"Deal management","Deal-Management"
"Last 7 days deals info","Pageviews in den letzten 7 Tagen"
"Select deal","Deal auswählen"
"Select deal and time period to view and compare their performance","Wähle Deal und Zeitraum aus, um deren Performance anzusehen und zu vergleichen"
"Deal performance comparison","Deal Performance Vergleich"
"Export","Exportieren"
"Edit Profile","Profil bearbeiten"
"Product page is missing","Produktseite fehlt"
